city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,overtoomse-veld,Karel Klinkenbergstraat 1 E,1061 AH Amsterdam,585000.0,4,107,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87592911-karel-klinkenbergstraat-1-e/
amsterdam,oosterparkbuurt,Derde Oosterparkstraat 135 C,1092 CS Amsterdam,725000.0,5,103,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41189711-derde-oosterparkstraat-135-c/
amsterdam,oosterparkbuurt,Beukenplein 57,1092 BB Amsterdam,500000.0,4,89,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128373-beukenplein-57/
amsterdam,oosterparkbuurt,Derde Oosterparkstraat 64 K2,1091 KA Amsterdam,685000.0,4,106,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41152329-derde-oosterparkstraat-64-k2/
amsterdam,burgwallen-nieuwe-zijde,Nieuwe Nieuwstraat 4 H,1012 NH Amsterdam,795000.0,3,110,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87564379-nieuwe-nieuwstraat-4-h/
amsterdam,rijnbuurt,Hoendiepstraat 21 2,1079 LR Amsterdam,750000.0,5,104,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41198377-hoendiepstraat-21-2/
amsterdam,slotermeer-zuidwest,August Vermeylenstraat 42,1064 AB Amsterdam,700000.0,6,174,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87109192-august-vermeylenstraat-42/
amsterdam,de-kolenkit,Hoofdweg 909 *,1055 SC Amsterdam,595000.0,4,105,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41155035-hoofdweg-909/
amsterdam,de-kolenkit,Bos en Lommerplein 123,1055 AD Amsterdam,450000.0,3,95,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41022882-bos-en-lommerplein-123/
amsterdam,de-kolenkit,Willem Augustinstraat 164,1061 MJ Amsterdam,450000.0,3,95,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41009393-willem-augustinstraat-164/
amsterdam,buitenveldert-oost,Van Heenvlietlaan 309,1083 DD Amsterdam,795000.0,4,116,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41814876-van-heenvlietlaan-309/
amsterdam,buitenveldert-oost,Weerdestein 192,1083 GM Amsterdam,785000.0,4,167,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41115052-weerdestein-192/
amsterdam,buitenveldert-oost,Mensinge 69,1083 HG Amsterdam,725000.0,5,163,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41184771-mensinge-69/
amsterdam,overtoomse-veld,Johan Jongkindstraat 136,1062 DJ Amsterdam,435000.0,3,96,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87570274-johan-jongkindstraat-136/
amsterdam,overtoomse-veld,Nachtwachtlaan 198,1058 EG Amsterdam,465000.0,4,99,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41135485-nachtwachtlaan-198/
amsterdam,overtoomse-veld,Nachtwachtlaan 391,1058 EN Amsterdam,535000.0,4,99,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41010575-nachtwachtlaan-391/
